Fecha;Lugar_Extraccion;Departamento;Tipo_Muestra;Tipo_Analisis;Operador_Solicitante;Observaciones
17/05/2017;Red A.I y P Bº Urquiza, Mno Hist 11;Tunuyan;Agua;Bacteriológico, Básico;O.G.C., Reclamo;
17/05/2017;Red A.I y P Bº Urquiza, Mno Hist 85;Tunuyan;Agua;Bacteriológico, Básico;O.G.C., Reclamo;
17/05/2017;Red A.I y P Bº Urquiza, Mno Hist 98;Tunuyan;Agua;Bacteriológico, Básico;O.G.C., Reclamo;
17/05/2017;Red A.I y P Bº Urquiza, Olazabal 88;Tunuyan;Agua;Bacteriológico, Básico;O.G.C., Reclamo;
17/05/2017;Red A.I y P Bº Urquiza, Derqui 356;Tunuyan;Agua;Bacteriológico, Básico;O.G.C., Reclamo;
17/05/2017;Red A.I y P Bº Urquiza, Esc. Zara Guiard Btq;Tunuyan;Agua;Bacteriológico, Básico;O.G.C., Reclamo;
17/05/2017;Red A.I y P Bº Urquiza, Esc. Zara Guiard Ent.;Tunuyan;Agua;Bacteriológico, Básico;O.G.C., Reclamo;
18/05/2017;Reclamo AySAM Costa de Araujo;Lavalle;Agua;Bacteriológico, Básico;AySAM, Reclamo;
24/05/2017;U.V. Zona Oeste G. Andre-La Floresta;Lavalle;Agua;Bacteriológico, Básico;O.G.C.;
29/05/2017;Rio Atuel Pto1: la Boxeadora;San Rafael;Agua;Bacteriológico, Básico;O.G.C., D.G.I.;
29/05/2017;Rio Atuel Pto2: Antes de las aguaditas;San Rafael;Agua;Bacteriológico, Básico;O.G.C., D.G.I.;
29/05/2017;Rio Atuel Pto3: Toma Canal Marginal;San Rafael;Agua;Bacteriológico, Básico;O.G.C., D.G.I.;
29/05/2017;Rio Atuel Pto 4: Puente antes de la Guevarina.;San Rafael;Agua;Bacteriológico, Básico;O.G.C., D.G.I.;
05/06/2017;Corralcoop Pozo Godoy -Factibilidad;Gllen;Agua;Bacteriológico, Básico;O.G.C.;
05/06/2017;Esc. Miguel Ramponi bebedero;Gllen;Agua;Bacteriológico, Básico;AySAM;
05/06/2017;Esc. Miguel Ramponi Cocina Agua Fria;Gllen;Agua;Bacteriológico, Básico;AySAM;
